"","days","confirmed.case_mean","confirmed.case_CI95","new.deaths_mean","new.deaths_CI95","ICU_mean","ICU_CI95","newICU_mean","newICU_CI95","ICUover_mean","ICUover_CI95","Ventilator_mean","Ventilator_CI95","smoothed.confirmed_mean","smoothed.confirmed_CI95","smoothed.deaths_mean","smoothed.deaths_CI95","confirmed.case.rate_mean","confirmed.case.rate_CI95","new.deaths.rate_mean","new.deaths.rate_CI95","ICU.rate_mean","ICU.rate_CI95","newICU.rate_mean","newICU.rate_CI95","ICUover.rate_mean","ICUover.rate_CI95","Ventilator.rate_mean","Ventilator.rate_CI95","policy.name","start.stop"
"26",25,567.58,355.132189690318,43.38,39.6381469677885,416.69717766194,368.917801859105,57.5237283015,45.7973437160726,132.8880833736,211.132703713692,377.4294919282,331.292593465513,595.940116457663,384.956970540826,43.8094804845049,39.8858023091762,-7.72881856368689,13.0145804213122,0.857502046315076,0.921507201636703,7.92704095227999,5.43683956660028,-0.369466409719998,2.03531677013141,1.46216155680001,4.45682683560424,6.02641225901998,5.61286360554573,"Childcare (K-12)","start"
"27",26,543.8,302.038132374043,37.96,35.856531937152,422.42398563458,365.536868506421,57.00013620228,43.9850145772267,132.799195048,207.214337985173,381.5230763224,326.917825458999,588.442932499355,372.719878105652,44.1298276006912,38.82720308348,-7.49718395830734,15.2588603053071,0.320347116186311,1.38302828571725,5.72680797263999,6.5827626964006,-0.523592099219999,2.09707946391463,-0.088888325600002,5.85385904128926,4.0935843942,6.91744339043854,"Childcare (K-12)","start"
"28",27,588.92,342.370122636658,45.32,42.8075384463998,426.10811237908,360.106930546215,56.36763922976,42.1665272887824,131.322210828,201.248874144663,383.8590602798,320.862790984657,581.191991707776,359.465041079878,44.1612690146937,37.518072770129,-7.2509407915797,16.0342468873004,0.0314414140025627,1.60768494432932,3.68412674449999,8.02733446748885,-0.632496972520002,2.09951261088399,-1.47698422000001,7.48880465843721,2.3359839574,8.23052611386718,"Childcare (K-12)","start"
"29",28,562.34,460.332646186385,45.84,40.9479245012491,427.9624794489,352.974421849802,55.6646441608,40.3876305953723,128.630409046,193.594665990666,384.65068871758,313.466322258239,574.061137132516,347.198837919808,44.212875046494,36.3504743027377,-7.1308545752601,14.9284299405972,0.0516060318002213,1.49853996218698,1.85436706982002,9.40648765203772,-0.702995068959999,2.05520499932818,-2.69180178199998,8.98862993111306,0.79162843777999,9.36451543642028,"Childcare (K-12)","start"
"30",29,598.18,397.60613506816,49.16,34.7515245271341,428.20993196344,344.483458181197,54.92183709294,38.6798471118746,124.902626404,184.607791404325,384.11340317154,305.051034184058,568.278793591556,335.419320297836,44.2024783081924,35.1083858544,-5.78234354095967,14.541141838197,-0.0103967383015171,1.57888846648018,0.247452514539972,10.5776481484643,-0.74280706786,1.97748070579878,-3.72778264200001,10.2356142527011,-0.537285546039983,10.2567420663473,"Childcare (K-12)","start"
"31",30,556.38,307.45069943495,49.3,33.4411562001077,427.08386858446,334.963974881907,54.16268937296,37.0622400997675,120.3177039,174.631195981198,382.46381735946,295.913554545201,564.796728552604,323.326981113374,43.9815422305867,33.5316189872095,-3.48206503895142,15.5592433473535,-0.220936077605755,1.89725036964503,-1.12606337897998,11.4908188081439,-0.759147719980001,1.87854317614353,-4.584922504,11.1971198576689,-1.64958581208002,10.8960196311738,"Childcare (K-12)","start"
"32",0,93.78,33.9850934004896,1.89583333333333,1.09425812168767,25.78647983432,12.8545221502248,5.65560460038,2.57348909926538,0,0,24.07399509,11.7578593287427,113.461584008823,55.5467840090648,1.91705532363837,1.14439394229079,19.5197134454601,15.5117942388427,0.298635647062335,0.14297444116297,3.7596527065,1.70166467772894,0.84425488396,0.453081442698457,0,0,3.5259858619,1.60254782782773,"Entertainment","start"
"33",1,121.54,52.8908426342406,2.375,1.11260698266384,30.23106708598,14.5422227687001,6.66208903834,3.04533996675681,0,0,28.24741202164,13.3492639354805,135.040965822467,70.3701818742814,2.29427611589988,1.25521886375635,21.5793818136444,17.1589373305676,0.377220792261508,0.148890882163866,4.44458725166,2.12984459734816,1.00648443796,0.596901077841704,0,0,4.17341693164,2.0256554922726,"Entertainment","start"
"34",2,142.58,68.2657707071414,2.4468085106383,1.06071492480844,35.49470679418,16.6816900004719,7.86045904064,3.69828185104677,0,0,33.19655477734,15.3986206282846,158.763989361329,86.2467234770527,2.81139727794597,1.39161669217412,23.7230235388621,17.6203561678878,0.517121162046094,0.243183698320735,5.2636397082,2.72958658471655,1.1983700023,0.785666922082816,0,0,4.9491427557,2.61386373361342,"Entertainment","start"
"35",3,220.58,159.076830425553,3.6530612244898,1.60985796474927,41.73477009322,19.4993921349072,9.28678393726,4.59218191863377,0,0,39.071549309,18.1293050999119,185.638793462403,104.95619542836,3.36233733448181,1.5539152670787,26.8748041010744,20.3190953500088,0.550940056535838,0.262096952095259,6.24006329904,3.54037382946802,1.42632489662,1.02499787228438,0,0,5.87499453166,3.40393254080306,"Entertainment","start"
