"","state.name","date","total.pop","confirmed.case","new.deaths","ICU","newICU","ICUover","Ventilator","smoothed.confirmed","smoothed.deaths","confirmed.case.rate","new.deaths.rate","ICU.rate","newICU.rate","ICUover.rate","Ventilator.rate"
"3113","Idaho",2020-03-27,1735118.899,59,0,5.138248109,1.144843308,0,4.909621701,49.0995840303495,0.841023649917723,12.1270567513839,0.0529006567321612,0.738571937,0.14973591,0,0.701363153
"3114","Idaho",2020-03-28,1735118.899,29,1,5.965118515,1.308562456,0,5.69354632,65.2339157140408,0.86062693251142,16.1343316836913,0.0196032825936971,0.826870406,0.163719148,0,0.783924619
"3115","Idaho",2020-03-29,1735118.899,47,1,6.882952755,1.48562217,0,6.562160696,80.7092606840774,0.868957388363429,15.4753449700366,0.00833045585200876,0.917834239999999,0.177059714,0,0.868614376
"3116","Idaho",2020-03-30,1735118.899,59,1,7.892337412,1.674717793,0,7.515542808,90.8593572944971,0.888039564870525,10.1500966104196,0.0190821765070962,1.009384657,0.189095623,0,0.953382112
"3117","Idaho",2020-03-31,1735118.899,175,2,8.991071217,1.873713691,0,8.551036773,96.3481809639421,0.872540770431774,5.48882366944498,-0.0154987944387511,1.098733805,0.198995898,0,1.035493965
"3118","Idaho",2020-04-01,1735118.899,51,1,10.1734182,2.079558361,0,9.662538005,100.598861931022,0.8084933462929,4.25068096708023,-0.0640474241388739,1.182346983,0.20584467,0,1.111501232
"3119","Idaho",2020-04-02,1735118.899,210,0,11.42934591,2.288198349,0,10.8397727,103.083870779727,0.764969389120667,2.48500884870448,-0.0435239571722328,1.25592771,0.208639988,0,1.177234695
"3120","Idaho",2020-04-03,1735118.899,115,0,12.74380783,2.49452733,0,12.06763045,103.275678094045,0.811040995581841,0.191807314317828,0.0460716064611734,1.31446192,0.206328981,0,1.22785775
"3121","Idaho",2020-04-04,1735118.899,131,1,14.096273,2.692528093,0,13.32574721,98.5289173929467,0.969330603577168,-4.74676070109786,0.158289607995327,1.35246517,0.198000763,0,1.25811676
"3122","Idaho",2020-04-05,1735118.899,56,0,15.46061783,2.875482254,0,14.5884527,88.9367993383854,1.19011855297033,-9.59211805456138,0.220787949393162,1.36434483,0.182954161,0,1.26270549
"3123","Idaho",2020-04-06,1735118.899,23,0,16.80545149,3.036253468,0,15.82515107,78.0796602288212,1.43396379337249,-10.8571391095642,0.24384524040216,1.34483366,0.160771214,0,1.23669837
"3124","Idaho",2020-04-07,1735118.899,69,3,18.09493484,3.167715178,0,17.00118346,69.537836362715,1.66142527439481,-8.54182386610617,0.227461481022323,1.28948335,0.13146171,0,1.17603239
"3125","Idaho",2020-04-08,1735118.899,40,2,19.29025452,3.263351255,0,18.0793303,62.1267845113037,1.96768981745452,-7.41105185141129,0.306264543059705,1.19531968,0.095636077,0,1.07814684
"3126","Idaho",2020-04-09,1735118.899,22,3,20.35167949,3.317814712,0,19.02187538,53.4993535919012,2.38392594538356,-8.62743091940253,0.416236127929047,1.06142497,0.0544634570000002,0,0.942545080000002
"3127","Idaho",2020-04-10,1735118.899,122,6,21.24107755,3.327530971,0,19.79310191,45.4919681220836,2.77466515991523,-8.00738546981756,0.390739214531662,0.889398060000001,0.00971625899999973,0,0.77122653
"3128","Idaho",2020-04-11,1735118.899,42,1,21.92491405,3.291390264,0,20.36223315,39.9410526194272,3.00443896278278,-5.5509155026564,0.229773802867551,0.683836500000002,-0.0361407069999999,0,0.569131240000001
"3129","Idaho",2020-04-12,1735118.899,11,2,22.37714328,3.210909521,0,20.70623034,37.7247155988037,3.02246655529781,-2.21633702062353,0.0180275925150277,0.452229229999997,-0.0804807429999999,0,0.34399719
"3130","Idaho",2020-04-13,1735118.899,19,0,22.58195804,3.090455851,0,20.81241074,37.5741359506832,2.92016089903983,-0.150579648120505,-0.102305656257976,0.204814760000001,-0.12045367,0,0.1061804
"3131","Idaho",2020-04-14,1735118.899,38,6,22.53570502,2.936931706,0,20.6801896,38.1053437560396,2.77534413614402,0.531207805356416,-0.144816762895805,-0.0462530199999982,-0.153524145,0,-0.132221140000002
"3132","Idaho",2020-04-15,1735118.899,9,6,22.24759906,2.759023784,0,20.32160904,37.9343690958468,2.66583840874556,-0.170974660192762,-0.109505727398459,-0.288105960000003,-0.177907922,0,-0.35858056
"3133","Idaho",2020-04-16,1735118.899,114,2,21.73888629,2.5661217,0,19.76030043,37.5191260134423,2.56460732476977,-0.415243082404594,-0.101231083975792,-0.508712769999999,-0.192902084,0,-0.561308609999998
"3134","Idaho",2020-04-17,1735118.899,22,0,21.04042436,2.367276551,0,19.02888881,37.8091668585284,2.41635631765777,0.290040845086118,-0.148251007112007,-0.698461930000001,-0.198845149,0,-0.731411619999999
"3135","Idaho",2020-04-18,1735118.899,46,2,20.18949368,2.17046,0,18.16567362,38.1579791716269,2.25652026781842,0.348812313098499,-0.159836049839349,-0.850930679999998,-0.196816551,0,-0.863215190000002
"3136","Idaho",2020-04-19,1735118.899,13,1,19.22605953,1.982108551,0,17.2108295,37.9190504932594,2.1205340556606,-0.238928678367436,-0.135986212157821,-0.963434150000001,-0.188351449,0,-0.954844120000001
